"link","链接"
"MinerForm.Miner","这是安装好的挖矿软件的名称，如"
"MinerForm.CCPoolExtra","如果需要，在矿池选项加入更多的参数。每一条单独一行，最后不要加逗号或句号。示例参数"
"MinerForm.CCExtra.Text1","如果需要，在挖矿软件选项加入更多的参数。每一条单独一行，最后不要加逗号或句号。示例参数："
"MinerForm.CCExtra.Text2","协议层活动的记录资料"
"MinerForm.CCExtra.Text3","用空格间隔CUDA设备名单"
"MinerForm.CGMInerConf.Text1","如果需要，在配置文件加入更多的参数。每一条单独一行，最后不要加逗号或句号。"
"MinerForm.CGMInerConf.Text2","关闭风扇控制"
"MinerForm.CGMInerConf.Text3","Cryptonight的示例参数"
"MinerForm.CGMInerConf.Text4","Ethash的示例参数"
"MinerForm.CGMInerConf.Text5","查看错误"
"MinerForm.CGMInerConf.Text6","选择设备使用，用一个值，范围和/或逗号分隔（如0-2,4）"
"MinerForm.CGMinerFork.Text1","您需要尝试不同的版本，因为部分可能不适用于一些算法或者矿池"
"MinerForm.CGMinerFork.Text2","并且尝试添加"
"MinerForm.CGMinerFork.Text3","和"
"MinerForm.CGMinerFork.Text4","在配置文件中查看详细信息来检查错误"
"MinerForm.CGMinerFork.Text5","分叉的详细列表"
"MinerForm.CGMinerFork.Text6","这里"
"MinerForm.DpoolTpl.Text1","nanopool上的SIA示例"
"MinerForm.DpoolTpl.Text2","用您自己钱包的地址替代。请阅读矿池帮助文档获取更多信息。"
"MinerForm.ClaymoreDescr.Text1","Decred/Siacoin/Lbry/Pascal 强度，默认是30。"
"MinerForm.ClaymoreDescr.Text2","对于PASC的合理值约10，SIA约15。更高的值将会导致ETH挖矿效率下降。"
"MinerForm.ClaymoreConfig.Text1","在这里添加您想要的Claymore配置文件（config.txt）内的设定，每行一条。例如"
"MinerForm.ClaymoreConfig.Text2","将会设定风扇速度为100%"
"MinerForm.ClaymoreConfig.Text3","将目标温度设为65度"
"MinerForm.ClaymoreConfig.Text4","关闭风扇控制"
"MinerForm.ClaymoreConfig.Text5","使用GPU 3，4，10，11"
"MinerForm.ClaymoreConfig.Text6","请参考"
"MinerForm.ClaymoreConfig.Text7","Claymore文件"
"MinerForm.ClaymoreConfig.Text8","其他设定"
"MinerForm.CpuMinerConfig.Text1","如果需要，在配置文件加入更多的参数。每一条单独一行，最后不要加逗号或句号。示例参数"
"MinerForm.CpuMinerConfig.Text2","挖矿软件线程数量（默认：处理器的数量）。建议最大算法数 = 核心数 - 1"
"MinerForm.CpuMinerConfig.Text3","为CPU核心设定运行紧密度，对于核心数为1和3的模糊为10 （0xA）"
"MinerForm.CpuMinerConfig.Text4","摄氏温度（默认是85），超过则停止挖矿"
"MinerForm.Server","对于备用矿池只需写在下一行，不写默认全部使用同一个"
"MinerForm.DstmConf.Text1","您可以在这里输入内容，如"
"MinerForm.DstmConf.Text2","用空格间隔CUDA设备名单"
"MinerForm.DstmConf.Text3","减少负载，可用逗号间隔dev_id:intensity值列表"
"MinerForm.DstmConf.Text4","每张GPU的负载将持续地被调整，以致温度稳定在这个值。可用逗号间隔dev_id:temp-target值列表，例如"
"MinerForm.EthServ.Text1","对于getwork，使用如下计划之一"
"MinerForm.EthServ.Text2","对于Stratum，使用如下计划之一"
"MinerForm.EthServ.Text3","示例"
"MinerForm.EthConf.Text1","您可以在这里输入内容，如"
"MinerForm.EthConf.Text2","用哪个OpenCL设备挖矿"
"MinerForm.EthConf.Text3","用哪个CUDA设备挖矿"
"MinerForm.EwbtConf.Text1","如果需要，在配置文件加入更多的参数。每一条单独一行，最后不要加逗号或句号。示例参数"
"MinerForm.EwbtConf.Text2","来仅使用指定的GPU"
"MinerForm.EwbtConf.Text3","来设定自定义的温度限制"
"MinerForm.LolConf.Text1","您可以在这里输入内容，如"
"MinerForm.LolConf.Text2","逗号间隔的设备列表"
"MinerForm.OptiConf.Text1","您可以在这里输入内容，如"
"MinerForm.OptiConf.Text2","要使用的OpenCL设备ID。如果没有指定设备，全部将会被使用"
"MinerForm.OptiConf.Text3","要使用的OpenCL平台ID"
"MinerForm.OptiConf.Text4","矿机强度：0表示依据可用内存自动检测"
"MinerForm.XmConf.Text1","如果需要，在配置文件加入更多的参数。每一条单独一行，最后不要加逗号或句号。示例参数"
"MinerForm.XmConf.Text2","减少CPU占用从75%到50%"
"MinerForm.XmConf.Text3","其他参数在"
"MinerForm.XmConf.Text4","xmrig文档"
"MinerForm.XmUrl.Text1","矿池地址应填写在表格中"
"MinerForm.XmUrl.Text2","只支持Stratum矿池"
"MinerForm.XmUrl.Text3","对于备用矿池只需写在下一行，不写默认全部使用同一个"
"MinerForm.XmStakCpuUrl.Text1","矿池地址应填写在表格中"
"MinerForm.XmStakCpuUrl.Text2","只支持Stratum矿池"
"MinerForm.XmrAmd.Text1","amd.txt的全部内容，示例如下"
"MinerForm.XmrAmd.Text2","停用AMD GPUs"
"MinerForm.XmrAmd.Text3","调试指南"
"MinerForm.XmrNvidia.Text1","nvidia.txt的全部内容，示例如下"
"MinerForm.XmrNvidia.Text2","停用Nvidia GPUs"
"MinerForm.XmrNvidia.Text3","调试指南"
"MinerForm.XmrCpu","cpu.txt的全部内容，示例如下"
"per","每"
"OC.DefaultConfig","默认配置"
"OC.DefaultHint","默认使用，可以被算法的配置覆盖。"
"Account.AuthenticationTokenCurrent","当前Session Tokens"
"Account.AuthenticationTokenOther","其他Session Tokens"
"Enter amount","输入金额"
"Send","发送"
"Revoke","撤回"
"Monitor","监控"
"Tech","技术"
"AccessLevel.Monitor","监控和统计矿机的详细信息。对于信任的账户可以给有限数量的矿机添加可视的标签。"
"AccessLevel.Tech","超频，系统重启，关停和升级。"
"AccessLevel.Rocket","将挖矿软件和钱包配置应用到矿机。创建和删除矿机。"
"AccessLevel.Advanced","执行命令，VPN，钱包，调试。"
"AccessLevel.Full","密码，二步验证，提醒，充值，所有权。"
"Full Access","全部权限"
"Advanced","高级"
"CompactView.Status.InvalidShares","低比率或无效份额"
"CompactView.Status.HightTemperature","高温"
"CompactView.Status.LowHashrate","低算力"
"Load Avg","平均载入"
"Subscribed","订阅"
"Create Flight Sheets","创建飞行表"
"Worker.FlightSheets.epmtyMessage","开始挖矿"
"FS.ActiveFSEdit","这个飞行表有效"
"FS.ApplyAll","全部矿机"
"FS.ChangesWillBeApplied","修改将会被应用到使用这个飞行表的全部矿机"
"FS.NewFSWillBeCreated","新的飞行表将会被创建并只应用到这台矿机"
"FS.OnlyThis","仅这台矿机"
"Account.WhiteList","白名单"
"Account.WhiteListHint","您可以在这里限制登录您账户的IP，值用空格间隔。"
"Account.WhiteListHint2","您当前的IP地址"
"Account.WhiteListHint3","基础检查在服务器上完成，所以您不会自己掉线。"
"Account.WhiteListExamples","示例："
"Account.WhiteListExample1","允许1个IP地址"
"Account.WhiteListExample2","允许2个IP地址"
"Account.WhiteListExample3","将会匹配任何172.217.16开头的IP"
"Account.WhiteListExample4","将会匹配任何172.217.d开头的IP"
"Account.WhiteListExample5","单个IPV6地址"
"Account.WhiteListExample6","将会匹配任何2001:db8::开头的IPV6地址"
"Account.WhiteListPlaceholder","输入IP地址"
"Account.WhiteListAddNewPlaceholder","输入新的IP地址"
"Worker.FlightSheets.epmtyMessage","开始挖矿"
"FS.ActiveFSEdit","这个飞行表是活跃的"
"CoinPaymentsDeposits","虚拟货币储蓄"
"Billing.TransactionFee","为指定金额添加交易手续费"
"Billing.FAQ","充值常见问题"
"WorkerSettings.GuiTurnedOn","GUI开启"
"WorkerSettings.GuiTurnedOff","GUI关闭"
"VPN.TurnedOn","VPN开启"
"VPN.TurnedOff","VPN关闭"
"Are you shure?","您确定吗？"
"Account.AuthenticationTwoFactor5","Google验证器不是最好的选择，因为您如果丢失手机您的码就没了。我们建议使用"
"BillingFarm.DaysUntil","矿场锁定前剩余天数"
"BillingFarm.ToLock","锁定前剩余天数"
"AMD","AMD"
"Card Types","显卡类型"
"TEMP","温度"
"FAN","风扇"
"Core","核心"
"MEM","显存"
"FlightSheets.ToManage","管理您的钱包，前往"
"FlightSheets.WalletsPage","钱包页面"
"FS.WallAddress","钱包地址"
"Claymore User Config","Claymore用户配置"
"2FA.ON","二步验证开启"
"2FA.OFF","二步验证关闭"
"Account.TwoFactorDisableDescription","输入这个码关闭二步验证。保存二维码（私密的）将不再有效，您随后可以删除它。"
"MinerForm.Custom.InstallationUrl","安装链接"
"MinerForm.Custom.MinerName","挖矿软件名称"
"AutoFans.ON","自动风扇开启"
"AutoFans.OFF","自动风扇关闭"
"AutoFans.TargetTemp","目标温度"
"AutoFans.MinFan","最小风扇速度"
"AutoFans.MaxFan","最大风扇速度"
"AutoFans.Critical","临界温度"
"AutoFans.NoAMDLabel","无AMD"
"AutoFans.RebootOnErrors","遇到错误重启"
"WDConfig.Minutes","分钟"
"WDConfig.MinerRestart","挖矿软件重启于"
"WDConfig.RebootAfter","重启矿机于"
"Server","服务器"
"Pass","跳过"
"Port","端口"
"Template","模版"
"Server Urls","服务器URL"
"PersonalToken.Placeholder","输入个人Token的名称"
"2FA Disabled","二步验证已关闭"
"2FA Enabled","二步验证已开始"
"Discount","折扣"
"Monthly price","月度价格"
"Daily use","每日使用"
"Payments.DailyRigsUse","每日矿机使用"
"Payments.DailyRigsPrice","每日矿机价格"
"Payments.DailyAsicsPrice","每日ASIC价格"
"Payments.DailyAsicsUse","每日ASIC使用"
"Payments.Refill","充值您的账户，请访问"
"rig","矿机"
"Coin.TypeIn","输入币种"
"CoinPaymentsDeposits.ShowAll","显示所有的储蓄"
"gained","已获得"
"OverclockingAlgoTable.CcAlgoResolved","给这个算法添加超频设定"
"Algo","算法"
"Billing Page","账单页面"
"Select algo","选择算法"
"more","更多"
"PaymentsList.CheckStatus","查看充值状态"
"AsicTable.Chain","链"
"AsicTable.ASIC","ASIC"
"AsicTable.Frequency","频率"
"AsicTable.HW","HW"
"AsicTable.Temp","温度"
"AsicTable.ASICStatus","ASIC状态"
"FilterWallets.more","更多钱包"
"Tuned","已调试"
"MiningInfo.Title","挖矿信息"
"MiningInfo.Tuned","已调试挖矿软件"
"OverclockingAlgoTable.more","更多"
"PowerGraph.Power","功率"
"The latest","最新的"
"for","对于"
"PoolConfigModal.EnterUrls","输入URL"
"Intensity:","强度："
"Wallet Address","钱包地址"
"Dcoin","副币"
"Example for nanopool","nanopool示例"
"WalletWorkTemplate:","钱包和矿机模版"
"dstm 0.6.0 had changed config syntax","dstm 0.6.0已更改配置语法"
"Action.OCUpdated","超频配置文件更新成功"
"Action.OCRemoved","超频配置文件移除移除"
"Worker added","矿机已添加"
"Worker removed","矿机已移除"
"Worker updated successfully","矿机更新成功"
"Password successfully updated","密码更新成功"
"Worker has been transferred","矿机已转移"
"Action.RemoveAllWorkersMessages","所有矿机消息已移除"
"Action.NowFarmYours","现在开始您拥有这个矿场"
"Action.RequestRejected","请求被拒绝"
"Action.LoginInvalid","无效登录"
"Action.KeyUpdated","API KEY已升级"
"Action.KeyRemoved","API KEY已移除"
"Action.KeyAdded","API KEY已添加"
"Action.YouUnsubscribed","您已成功取消关注"
"Action.YouSubscribed","您已成功订阅"
"Action.WorkerUpdated","矿机升级成功"
"Url","URL"
"Should be selected at least one server","至少需要选择一个服务器"
"Filed is required","必填"
"NewRig","全新表现，不同凡响！"
"NewRig.Read","请阅读"
"NewRig.Read2","安装指南"
"NewRig.Read3","如何设置您的矿机"
"or","或"
"InfoWorker.Password","密码至少是1位及以上的字符"
"discount","折扣"
"RemoveWorkerModal.Text1","您将移除矿机"
"RemoveWorkerModal.Text2","移除矿机将不能恢复！您确定吗？"
"RemoveWorkerModal.Text3","这会导致数据丢失，为了避免意外我们需要您再次确认"
"Workers removed","矿机已移除"
"Shut down worker?","是否关闭矿机？"
"Shut down workers?","是否关闭矿机？"
"High Load Avg.","过高平均载入"
"Payments.PricePerRig","每台矿机价格"
"Payments.PricePerAsic","每台ASIC价格"
"30 minutes","30分钟"
"1 hour","1小时"
"From farm balance","从矿场余额"
"Connect via","连接通过"
"ConsoleCommand.Hello","和服务器say hello来刷新数据"
"ConsoleCommand.Dmesg","显示核心的载入和驱动信息"
"ConsoleCommand.BminerApi","显示biminer API信息"
"ConsoleCommand.CgminerApi","显示cgminer API信息"
"ConsoleCommand.Selfupgrade","升级至最新版本"
"ConsoleCommand.InnosiliconEnableCron","cgminer每24小时重启（仅用于芯动）"
"YourFunds","你的资金"
"FarmBalance","矿场余额"
"RefillBalance","充值余额"
"RefillMethod","选择充值方式"
"Coinpayments","虚拟货币支付"
"MyDeposit","我的存款"
"OtherFarms","其他矿场"
"Referal","推荐人"
"AddFee","添加交易手续费至特定账户"
"WhatIsFee","什么是交易手续费"
"RefillFromDeposit","您可以用您的存款充值矿场"
"BillingInformation","账单信息每日更新"
"DownloadInvoiceInfo","您可以下载指定时间段的收据"
"PaidFeatures","付费功能"
"PaidFeaturesSSL","HTTPS API 安全通信"
"PaidFeaturesStats","最近三个月的统计数据"
"Invoices","收据"
"PaidFeaturesEnabled","付费功能开启"
"PaidFeaturesDisabled","付费功能关闭"
"Payer","付款人"
"PayerInfo","你的矿场可以让其他人承担支付责任。这个人可以是你的财务经理，对矿场仅拥有监控权限。"
"PayerTransfer","矿场账单的支付责任"
"PayerUser","将其他用户设定为付款人"
"Debt","债"
"AutomaticWithdraw","当余额为零时，每日支出将自动从您的资金中结算"
"Use deposit, $","使用存款¥"
"TransferPaymentOwnership","您可以转移矿场支付权给他人"
"ManualyTransfer","您可以手动将您的存款转账给矿场和用户"
"YourDepositUsage","你的存款为所有您拥有的矿场自动提取"
"RefillDeposit","充值存款"
"BillingFAQ","账单常见问题"
"IncomingPayerRequest","是否为下一个矿场支付？"
"Action.TransferPayerRole","付款人更改请求已经发送"
"Billing.transferTargetPayerText","您已经发送了一个付款人请求给"
"AutoFans.CriticalAction","关键操作"
"AutfanTTHint","Autofan命令控制了风扇转速。Claymore -tt值被忽略。"
"GPURedTemp","GPU温度"
"AsicRedTemp","ASIC温度"
"MonitorThreshold","监控阀值"
"SignIn","注册"
"Daily cost","每日支出"
"TransferToOthers","转账给他人"
"Action.TransferComplete","转账完成"
"TransferRules","你无法转账给不存在的用户"
"Amount to transfer, $","转账金额¥"
"Disk Model","磁盘模型"
"FSMinerDuplicates","在同一个飞行表中，挖矿软件无法复制"
"Account.WhiteListWarning","不要在动态IP下使用这个（ISP更改或你的网络是手机网络）"
"NewRig.Read4",""
"Search","查找"
"Sure want to delete selected flight sheets?","确定删除选中的飞行表吗？"
"Action.SelectedFlightSheetsRemoved","选定飞行表已移除"
"Action.SelectedWalletsRemoved","选定钱包已移除"
"AccountIsLockedByAdministrator","账号被管理员锁定"
"Farm.FarmsFs.CreateWalletFirst","管理飞行表，您需要先创建钱包"
"NvidiaCardForm.RunningDelay","应用超频前的延迟（秒）"
"MinerThreads","挖矿软件线程"
"Expand","展开"
"Collapse","折叠"
"Hashrate","算力"
"Temperature","温度"
"Fans","风扇"
"Status","状态"
"Ratio","接受比率"
"Units","单元"
"No workers found so far.","暂无找到矿机"
"Shutdown and then boot after 30 seconds","30秒后关机加启动"
"Export CSV","导出CSV"
"Refresh","刷新"
"per row","每栏"
"ConsoleCommand.Wakeralarm","在120秒后关停并重启"
"Import Flight Sheet","载入飞行表"
"Close","关闭"
"Impossible to perform action","无法执行动作"
"Invalid file format. JSON expected.","无效的文件格式"
"To manage overclocking go to Overclocking Templates page","前往{overclockingTemplatesHref}页管理超频"
"To manage your wallets and flightsheets go to wallets page","前往{flightSheetsHref}或{walletsHref}管理飞行表或钱包"
"Reading file error","读取文件错误"
"MinerUptime","挖矿软件正常运行"
"SelectOrAddTag","选择或开始输入"
"SelectWorkers","选择矿机"
"Mode","模式"
"code replaced by wallet","{code} 将会被钱包的相关值替换"
"code replaced by email","{code} 将会被矿池配置的相关值替换"
"code replaced by worker","{code} 将会被矿机名替换"
"Pool examples","矿池示例"
"code for manual pool setting","{code}用来手动矿池设定，在下一行添加备用矿池"
"Only stratum pools pass is used","只支持Stratum矿池。不填则默认只有一个。"
"url will be replaced with config","{code} 之后会被矿池配置模版中 的address:port替换"
"host will be replaced with config","{code}将会被矿池配置中的地址替换"
"port will be replaced with config","{code}将会被矿池配置中的端口替换"
"Set your pool password here","在这里设置你的矿池密码"
"You can use variable","部分矿池用这个字段设置矿机名，你可以使用{code}变量。"
"Threads example","线程示例"
"Addition information in href","更多信息可以在{href}找到"
"or use online configurator","或使用{href}"
"Add extra parameters if required","如果需要，在配置文件添加额外的参数。根据下面的格式每条单独一行，行末不要用逗号和句号"
"For example","举例来说"
"max-cpu-usage example","{example} 减少CPU75%-50%使用率"
"variant: 1 sets PoW-variant to 1","{example} 设置PoW-variant为1"
"Other parameters can be found href","其他参数可以在{href}找到"
"enables nicehash.com support","{code}支持nicehash.com"
"code for hiveon and most of pools","对于{hiveon}和其他大多数矿池的{code}"
"code for other pools","对于{pools}的{code}等等"
"List of comma-separated device IDs","逗号间隔的挖矿设备ID列表。ID用0,1 …, N - 1表示"
"Mining intensity","挖矿强度(0 - 6)（默认为6）"
"Other parameters by href","其他参数可以在{href}找到"
"code for nanopool","{code}给nanopool"
"Use only exact cards","仅使用{cards}显卡"
"Use only the specified GPUs","仅使用指定显卡（如果多余十张，用逗号区隔）"
"You can use variable url","你可以用变量{code} ，之后会被矿池配置模版中 的address:port替换"
"Failover pools also supported","支持备用矿池，每行单独一个服务器链接，首行为主矿池。"
"Only stratum pools are supported","注意：只支持stratum矿池"
"By default mining on all CUDA","默认情况下，所有可用的CUDA设备都可用于挖矿，但你可以在这里更改。"
"for mining on GPU","对于在GPU4, GPU5 和 GPU6挖矿的"
"By default used auto intensity","默认情况下，采用的自动强度根据算法而定，但用户可以自己设置。用一个数值表示全部，用逗号区隔可以为每张卡单独设置。"
"set intensity all devices","为所有的挖矿设备设置22的强度"
"set intensity exact devices","对于5卡的矿机设置强度 GPU0-1 - 18, GPU2-3 19, GPU4 - 20"
"Most important arguments","最重要的表现增强为--opencl-threads 和 --opencl-launch。此加强依赖于显卡类型和算法。"
"For example for add algorithm","举例来说，对于RX580和 x16r算法，添加"
"Please refer href","请参考{href}"
"Please refer to miner manual","完整增强列表，请参考挖矿软件手册"
"for mining only on cards","对于只在{cards}挖矿的"
"for mining only exact GPU","对于只在GPU3..GPU5挖矿的"
"Intensity","强度，-dcri 0...300"
"The intensity of the secondary mining","挖副币的强度。值从0到300。默认是零，自动调整。"
"for pools where worker name","对于将矿机名填在密码字段的矿池"
"MinerForm.XmrNvidia.Attention","注意！这个挖矿软件已支持CUDA 9.2。Nvidia驱动版本不得低于390.xx，否则将无法启动。"
"Check your pool's help for formatting","在矿池帮助中心查看更多格式信息"
"Check your pool's help","在矿池帮助中心查看更多信息"
"Download rig.conf for this worker","为这个矿机下载{href}"
"To disable CPU set","关闭CPU组"
"to print intro connection event","在挖矿软件输出介绍，连接记录，断连记录和任务（区块）事件，结果提交实践"
"to display messages","显示来自矿池运营方算力的消息"
"Attention miner for CUDA","注意！这个挖矿软件已支持CUDA 9.2。Nvidia驱动版本不得低于390.xx，否则将无法启动。"
"Flight Sheet updated","飞行表已升级"
"algo sets algorithm to","{code}为{algo}设定算法"
"LAN Configuration","LAN配置"
"IP/Network","IP/Network "
"Enter IP/Network","输入 IP/Network"
"Gateway","网关"
"Enter gateway","输入网关"
"DNS","DNS"
"Enter DNS","输入DNS"
"Test network","在线测试(如果新的配置失败了将不会被保存)"
"Switch to DHCP","切换到DHCP"
"Network masks hint","网络掩码提示"
"Sure want to delete selected wallets?","确定要删除已选钱包？"
